#At time x Process y state arr w total z remain y wait k
At time 1 Process 1 started arr 1 total 12 remain 12 wait 1
At time 3 Process 1 stopped arr 1 total 12 remain 10 wait 1
At time 3 Process 2 started arr 2 total 14 remain 14 wait 3
At time 5 Process 2 stopped arr 2 total 14 remain 12 wait 3
At time 5 Process 3 started arr 3 total 9 remain 9 wait 5
At time 7 Process 3 stopped arr 3 total 9 remain 7 wait 5
At time 7 Process 1 resumed arr 1 total 12 remain 10 wait 7
At time 9 Process 1 stopped arr 1 total 12 remain 8 wait 7
At time 9 Process 4 started arr 4 total 11 remain 11 wait 9
At time 11 Process 4 stopped arr 4 total 11 remain 9 wait 9
At time 11 Process 5 started arr 5 total 14 remain 14 wait 11
At time 13 Process 5 stopped arr 5 total 14 remain 12 wait 11
At time 13 Process 2 resumed arr 2 total 14 remain 12 wait 15
At time 15 Process 2 stopped arr 2 total 14 remain 10 wait 15
At time 15 Process 3 resumed arr 3 total 9 remain 7 wait 19
At time 17 Process 3 stopped arr 3 total 9 remain 5 wait 19
At time 17 Process 1 resumed arr 1 total 12 remain 8 wait 21
At time 19 Process 1 stopped arr 1 total 12 remain 6 wait 21
At time 19 Process 4 resumed arr 4 total 11 remain 9 wait 23
At time 21 Process 4 stopped arr 4 total 11 remain 7 wait 23
At time 21 Process 5 resumed arr 5 total 14 remain 12 wait 25
At time 23 Process 5 stopped arr 5 total 14 remain 10 wait 25
At time 23 Process 2 resumed arr 2 total 14 remain 10 wait 29
At time 25 Process 2 stopped arr 2 total 14 remain 8 wait 29
At time 25 Process 3 resumed arr 3 total 9 remain 5 wait 31
At time 27 Process 3 stopped arr 3 total 9 remain 3 wait 31
At time 27 Process 1 resumed arr 1 total 12 remain 6 wait 33
At time 29 Process 1 stopped arr 1 total 12 remain 4 wait 33
At time 29 Process 4 resumed arr 4 total 11 remain 7 wait 35
At time 31 Process 4 stopped arr 4 total 11 remain 5 wait 35
At time 31 Process 5 resumed arr 5 total 14 remain 10 wait 37
At time 33 Process 5 stopped arr 5 total 14 remain 8 wait 37
At time 33 Process 2 resumed arr 2 total 14 remain 8 wait 41
At time 35 Process 2 stopped arr 2 total 14 remain 6 wait 41
At time 35 Process 3 resumed arr 3 total 9 remain 3 wait 43
At time 37 Process 3 stopped arr 3 total 9 remain 1 wait 43
At time 37 Process 1 resumed arr 1 total 12 remain 4 wait 45
At time 39 Process 1 stopped arr 1 total 12 remain 2 wait 45
At time 39 Process 4 resumed arr 4 total 11 remain 5 wait 47
At time 41 Process 4 stopped arr 4 total 11 remain 3 wait 47
At time 41 Process 5 resumed arr 5 total 14 remain 8 wait 49
At time 43 Process 5 stopped arr 5 total 14 remain 6 wait 49
At time 43 Process 2 resumed arr 2 total 14 remain 6 wait 53
At time 45 Process 2 stopped arr 2 total 14 remain 4 wait 53
At time 45 Process 3 resumed arr 3 total 9 remain 1 wait 55
At time 46 Process 3 finished arr 3 total 9 remain 0 wait 55 TA 43 WTA 4.78
