#At time x allocated y bytes for process z from i to j
At time 1 allocated 100 bytes for process 1 from 0 to 127
At time 1 allocated 210 bytes for process 2 from 256 to 511
At time 1 allocated 50 bytes for process 3 from 128 to 191
At time 1 allocated 256 bytes for process 4 from 512 to 767
At time 1 allocated 70 bytes for process 5 from 768 to 895
At time 10 freed 50 bytes from process 3 from 128 to 191
At time 22 freed 100 bytes from process 1 from 0 to 127
At time 22 allocated 130 bytes for process 6 from 0 to 255
At time 30 freed 70 bytes from process 5 from 768 to 895
At time 30 allocated 200 bytes for process 7 from 768 to 1023
At time 35 freed 256 bytes from process 4 from 512 to 767
At time 35 allocated 150 bytes for process 8 from 512 to 767
At time 38 freed 150 bytes from process 8 from 512 to 767
At time 44 freed 200 bytes from process 7 from 768 to 1023
At time 52 freed 210 bytes from process 2 from 256 to 511
At time 62 freed 130 bytes from process 6 from 0 to 255
